run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,bedrock,per_class,iou,0.9426975116928851,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,sand,per_class,iou,0.9736559130002856,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,big_rock,per_class,iou,0.3812262856220231,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,ALL,all,pixel_acc,0.9854026045419841,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
unet__scratch__resnet34__in_rover__seed1414__gpu_full__39bfa6f5__gitc188b320__codebebd8b2d__20260711T015842068985Z,unet,resnet34,scratch,ALL,all,boundary_f1,0.8484700347885998,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,39bfa6f54e18ff65759f7b8131c82f1ec06adc9cf90ab4ccca045854630f2ee3,24436804.0,24436804.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,ALL,all,miou,0.8013051865506088,0.7226763469697248,0.8931756112958725,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,soil,per_class,iou,0.982953222810432,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,bedrock,per_class,iou,0.9253926635108412,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,sand,per_class,iou,0.9589778268771012,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
