run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,sand,validation,iou,0.9047318845575226,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,big_rock,validation,iou,0.6004100157977564,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,scale_0,validation,routing_mean_weight,0.0980487485511328,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,scale_1,validation,routing_mean_weight,0.03301457133689369,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,scale_2,validation,routing_mean_weight,0.5348326022888933,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,scale_3,validation,routing_mean_weight,0.3341040779676452,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,ALL,validation,routing_active_scales,2.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,ALL,validation,latency_median_ms,10.622464179992676,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__content__validation__seed1414__5e539756__20260715T100032075189Z,unet,resnet34,content,ALL,validation,peak_gpu_memory_bytes,3808989184.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,5e539756d777b5002ae02808277e556eeb65f6c4624bcd77db6021b61f51635a,24783626,24783626
unet__resnet34__raw_y__validation__seed1414__c24f78f3__20260715T124944876098Z,unet,resnet34,raw_y,ALL,validation,miou,0.8541780359654795,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,c24f78f37b51f9dbca7751d5b1c688f35728b72a4dc31b3118fae057ba8d3ad6,24783626,24783626
unet__resnet34__raw_y__validation__seed1414__c24f78f3__20260715T124944876098Z,unet,resnet34,raw_y,ALL,validation,pixel_acc,0.968770913686931,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,c24f78f37b51f9dbca7751d5b1c688f35728b72a4dc31b3118fae057ba8d3ad6,24783626,24783626
